x-axis,F1
Hertz,Volt
+95.000000E+03,
+95.005000E+03,+201.3E-06
+95.010000E+03,+220.5E-06
+95.015000E+03,+240.8E-06
+95.020000E+03,+272.8E-06
+95.025000E+03,+304.8E-06
+95.030000E+03,+336.8E-06
+95.035000E+03,+370.5E-06
+95.040000E+03,+408.9E-06
+95.045000E+03,+489.2E-06
+95.050000E+03,+642.8E-06
+95.055000E+03,+568.7E-06
+95.060000E+03,+223.1E-06
+95.065000E+03,+197.1E-06
+95.070000E+03,+433.9E-06
+95.075000E+03,+399.7E-06
+95.080000E+03,+214.1E-06
+95.085000E+03,+249.4E-06
+95.090000E+03,+364.6E-06
+95.095000E+03,+315.7E-06
+95.100000E+03,+232.5E-06
+95.105000E+03,+272.9E-06
+95.110000E+03,+322.9E-06
+95.115000E+03,+271.7E-06
+95.120000E+03,+238.6E-06
+95.125000E+03,+360.2E-06
+95.130000E+03,+432.5E-06
+95.135000E+03,+304.5E-06
+95.140000E+03,+243.3E-06
+95.145000E+03,+345.7E-06
+95.150000E+03,+360.0E-06
+95.155000E+03,+232.0E-06
+95.160000E+03,+271.3E-06
+95.165000E+03,+495.3E-06
+95.170000E+03,+530.2E-06
+95.175000E+03,+421.4E-06
+95.180000E+03,+388.7E-06
+95.185000E+03,+395.1E-06
+95.190000E+03,+391.9E-06
+95.195000E+03,+385.5E-06
+95.200000E+03,+379.1E-06
+95.205000E+03,+372.7E-06
+95.210000E+03,+480.4E-06
+95.215000E+03,+584.8E-06
+95.220000E+03,+354.4E-06
+95.225000E+03,+164.5E-06
+95.230000E+03,+260.5E-06
+95.235000E+03,+327.4E-06
+95.240000E+03,+289.0E-06
+95.245000E+03,+308.0E-06
+95.250000E+03,+455.2E-06
+95.255000E+03,+448.1E-06
+95.260000E+03,+211.3E-06
+95.265000E+03,+215.0E-06
+95.270000E+03,+464.6E-06
+95.275000E+03,+428.6E-06
+95.280000E+03,+191.8E-06
+95.285000E+03,+220.4E-06
+95.290000E+03,+374.0E-06
+95.295000E+03,+354.6E-06
+95.300000E+03,+284.2E-06
+95.305000E+03,+385.4E-06
+95.310000E+03,+513.4E-06
+95.315000E+03,+328.8E-06
+95.320000E+03,+152.0E-06
+95.325000E+03,+382.4E-06
+95.330000E+03,+556.0E-06
+95.335000E+03,+389.6E-06
+95.340000E+03,+288.1E-06
+95.345000E+03,+396.9E-06
+95.350000E+03,+449.0E-06
+95.355000E+03,+385.0E-06
+95.360000E+03,+347.9E-06
+95.365000E+03,+347.9E-06
+95.370000E+03,+334.8E-06
+95.375000E+03,+309.2E-06
+95.380000E+03,+353.4E-06
+95.385000E+03,+443.0E-06
+95.390000E+03,+478.9E-06
+95.395000E+03,+491.7E-06
+95.400000E+03,+393.1E-06
+95.405000E+03,+265.1E-06
+95.410000E+03,+335.1E-06
+95.415000E+03,+431.1E-06
+95.420000E+03,+314.6E-06
+95.425000E+03,+210.3E-06
+95.430000E+03,+338.3E-06
+95.435000E+03,+422.7E-06
+95.440000E+03,+281.9E-06
+95.445000E+03,+222.7E-06
+95.450000E+03,+401.9E-06
+95.455000E+03,+434.3E-06
+95.460000E+03,+191.1E-06
+95.465000E+03,+142.3E-06
+95.470000E+03,+340.7E-06
+95.475000E+03,+344.7E-06
+95.480000E+03,+178.3E-06
+95.485000E+03,+232.1E-06
+95.490000E+03,+417.7E-06
+95.495000E+03,+336.7E-06
+95.500000E+03,+151.1E-06
+95.505000E+03,+323.5E-06
+95.510000E+03,+579.5E-06
+95.515000E+03,+442.4E-06
+95.520000E+03,+263.2E-06
+95.525000E+03,+383.6E-06
+95.530000E+03,+484.2E-06
+95.535000E+03,+369.0E-06
+95.540000E+03,+282.8E-06
+95.545000E+03,+327.6E-06
+95.550000E+03,+332.0E-06
+95.555000E+03,+229.6E-06
+95.560000E+03,+239.9E-06
+95.565000E+03,+444.7E-06
+95.570000E+03,+531.9E-06
+95.575000E+03,+480.7E-06
+95.580000E+03,+415.4E-06
+95.585000E+03,+338.6E-06
+95.590000E+03,+327.8E-06
+95.595000E+03,+353.4E-06
+95.600000E+03,+336.5E-06
+95.605000E+03,+304.5E-06
+95.610000E+03,+368.1E-06
+95.615000E+03,+451.3E-06
+95.620000E+03,+392.8E-06
+95.625000E+03,+324.9E-06
+95.630000E+03,+414.5E-06
+95.635000E+03,+472.3E-06
+95.640000E+03,+267.5E-06
+95.645000E+03,+141.0E-06
+95.650000E+03,+326.6E-06
+95.655000E+03,+403.3E-06
+95.660000E+03,+217.7E-06
+95.665000E+03,+158.1E-06
+95.670000E+03,+298.9E-06
+95.675000E+03,+347.8E-06
+95.680000E+03,+296.6E-06
+95.685000E+03,+340.5E-06
+95.690000E+03,+455.7E-06
+95.695000E+03,+379.7E-06
+95.700000E+03,+206.9E-06
+95.705000E+03,+271.3E-06
+95.710000E+03,+412.1E-06
+95.715000E+03,+308.4E-06
+95.720000E+03,+161.2E-06
+95.725000E+03,+387.7E-06
+95.730000E+03,+621.4E-06
+95.735000E+03,+410.2E-06
+95.740000E+03,+242.1E-06
+95.745000E+03,+370.1E-06
+95.750000E+03,+439.0E-06
+95.755000E+03,+298.2E-06
+95.760000E+03,+239.4E-06
+95.765000E+03,+361.0E-06
+95.770000E+03,+371.1E-06
+95.775000E+03,+217.5E-06
+95.780000E+03,+271.0E-06
+95.785000E+03,+533.4E-06
