x-axis,F1
Hertz,Volt
+99.500000E+03,
+99.509434E+03,+3.2400E-03
+99.518868E+03,+3.1840E-03
+99.528302E+03,+3.2289E-03
+99.537736E+03,+3.5046E-03
+99.547170E+03,+3.0888E-03
+99.556604E+03,+3.8004E-03
+99.566038E+03,+2.6869E-03
+99.575472E+03,+4.0327E-03
+99.584906E+03,+2.4991E-03
+99.594340E+03,+4.4840E-03
+99.603774E+03,+1.6706E-03
+99.613208E+03,+4.7637E-03
+99.622642E+03,+1.4356E-03
+99.632075E+03,+5.3454E-03
+99.641509E+03,+2.2572E-03
+99.650943E+03,+5.4614E-03
+99.660377E+03,+2.8755E-03
+99.669811E+03,+5.5135E-03
+99.679245E+03,+3.4621E-03
+99.688679E+03,+5.9688E-03
+99.698113E+03,+4.5608E-03
+99.707547E+03,+5.6903E-03
+99.716981E+03,+5.4199E-03
+99.726415E+03,+5.5809E-03
+99.735849E+03,+6.6611E-03
+99.745283E+03,+5.0075E-03
+99.754717E+03,+7.9554E-03
+99.764151E+03,+4.1010E-03
+99.773585E+03,+9.3856E-03
+99.783019E+03,+2.6197E-03
+99.792453E+03,+10.4446E-03
+99.801887E+03,+1.4615E-03
+99.811321E+03,+11.4351E-03
+99.820755E+03,+582.5E-06
+99.830189E+03,+12.4979E-03
+99.839623E+03,+2.9253E-03
+99.849057E+03,+13.4906E-03
+99.858491E+03,+5.4687E-03
+99.867925E+03,+14.7253E-03
+99.877358E+03,+8.8371E-03
+99.886792E+03,+15.9890E-03
+99.896226E+03,+12.8128E-03
+99.905660E+03,+17.4916E-03
+99.915094E+03,+17.8006E-03
+99.924528E+03,+19.8568E-03
+99.933962E+03,+25.1813E-03
+99.943396E+03,+23.4356E-03
+99.952830E+03,+37.7802E-03
+99.962264E+03,+29.6538E-03
+99.971698E+03,+64.7683E-03
+99.981132E+03,+46.7691E-03
+99.990566E+03,+206.5501E-03
+100.000000E+03,+326.2210E-03
+100.009434E+03,+243.2883E-03
+100.018868E+03,+56.7453E-03
+100.028302E+03,+55.3845E-03
+100.037736E+03,+26.0351E-03
+100.047170E+03,+33.5440E-03
+100.056604E+03,+20.4496E-03
+100.066038E+03,+24.3440E-03
+100.075472E+03,+17.7697E-03
+100.084906E+03,+18.8813E-03
+100.094340E+03,+15.7208E-03
+100.103774E+03,+15.3369E-03
+100.113208E+03,+14.1649E-03
+100.122642E+03,+12.7851E-03
+100.132075E+03,+12.7485E-03
+100.141509E+03,+10.6754E-03
+100.150943E+03,+11.0480E-03
+100.160377E+03,+9.0185E-03
+100.169811E+03,+9.5714E-03
+100.179245E+03,+7.6379E-03
+100.188679E+03,+8.0437E-03
+100.198113E+03,+6.4989E-03
+100.207547E+03,+6.6870E-03
+100.216981E+03,+5.5012E-03
+100.226415E+03,+5.2185E-03
+100.235849E+03,+5.3818E-03
+100.245283E+03,+4.6612E-03
+100.254717E+03,+5.6005E-03
+100.264151E+03,+4.6239E-03
+100.273585E+03,+5.4513E-03
+100.283019E+03,+4.6280E-03
+100.292453E+03,+5.7647E-03
+100.301887E+03,+4.7349E-03
+100.311321E+03,+5.3576E-03
+100.320755E+03,+4.6038E-03
+100.330189E+03,+4.8708E-03
+100.339623E+03,+4.5131E-03
+100.349057E+03,+4.6171E-03
+100.358491E+03,+4.4882E-03
+100.367925E+03,+3.8931E-03
+100.377358E+03,+4.3360E-03
+100.386792E+03,+3.4012E-03
+100.396226E+03,+4.2481E-03
+100.405660E+03,+2.5499E-03
+100.415094E+03,+4.0009E-03
+100.424528E+03,+1.9389E-03
+100.433962E+03,+3.9930E-03
+100.443396E+03,+1.4875E-03
+100.452830E+03,+4.1177E-03
+100.462264E+03,+1.9140E-03
+100.471698E+03,+3.7067E-03
+100.481132E+03,+1.9992E-03
+100.490566E+03,+3.6887E-03
