x-axis,F1
Hertz,dBV
+0E+00,-51.58569E+00
+100E+00,-61.70006E+00
+200E+00,-71.41978E+00
+300E+00,-74.29039E+00
+400E+00,-72.38516E+00
+500E+00,-68.43912E+00
+600E+00,-68.56921E+00
+700E+00,-66.42345E+00
+800E+00,-71.44252E+00
+900E+00,-72.82527E+00
+1.000E+03,-73.30574E+00
+1.100E+03,-76.60429E+00
+1.200E+03,-76.02363E+00
+1.300E+03,-66.71236E+00
+1.400E+03,-77.87817E+00
+1.500E+03,-71.35856E+00
+1.600E+03,-70.95218E+00
+1.700E+03,-72.07229E+00
+1.800E+03,-76.44903E+00
+1.900E+03,-69.44398E+00
+2.000E+03,-74.23388E+00
+2.100E+03,-69.50008E+00
+2.200E+03,-71.64267E+00
+2.300E+03,-66.37430E+00
+2.400E+03,-72.82510E+00
+2.500E+03,-69.92876E+00
+2.600E+03,-80.64303E+00
+2.700E+03,-68.67194E+00
+2.800E+03,-70.37266E+00
+2.900E+03,-70.33784E+00
+3.000E+03,-72.55807E+00
+3.100E+03,-85.46067E+00
+3.200E+03,-77.23226E+00
+3.300E+03,-74.82813E+00
+3.400E+03,-72.13068E+00
+3.500E+03,-71.75449E+00
+3.600E+03,-82.38396E+00
+3.700E+03,-75.17942E+00
+3.800E+03,-84.32524E+00
+3.900E+03,-70.67096E+00
+4.000E+03,-76.36530E+00
+4.100E+03,-77.50129E+00
+4.200E+03,-76.80866E+00
+4.300E+03,-77.66676E+00
+4.400E+03,-76.07737E+00
+4.500E+03,-75.40417E+00
+4.600E+03,-76.13940E+00
+4.700E+03,-77.11791E+00
+4.800E+03,-75.04051E+00
+4.900E+03,-74.79107E+00
+5.000E+03,-79.31499E+00
+5.100E+03,-73.86729E+00
+5.200E+03,-72.17460E+00
+5.300E+03,-78.30760E+00
+5.400E+03,-76.81336E+00
+5.500E+03,-76.50989E+00
+5.600E+03,-73.13243E+00
+5.700E+03,-70.06901E+00
+5.800E+03,-77.67329E+00
+5.900E+03,-85.44733E+00
+6.000E+03,-84.43751E+00
+6.100E+03,-82.62554E+00
+6.200E+03,-92.89192E+00
+6.300E+03,-72.96643E+00
+6.400E+03,-76.72298E+00
+6.500E+03,-77.12006E+00
+6.600E+03,-90.24642E+00
