x-axis,F1
Hertz,dBV
+18.800E+03,-71.55953E+00
+18.900E+03,-73.43851E+00
+19.000E+03,-77.80672E+00
+19.100E+03,-70.30563E+00
+19.200E+03,-77.04090E+00
+19.300E+03,-70.74965E+00
+19.400E+03,-73.64752E+00
+19.500E+03,-76.02806E+00
+19.600E+03,-81.54790E+00
+19.700E+03,-81.90151E+00
+19.800E+03,-78.61037E+00
+19.900E+03,-64.20030E+00
+20.000E+03,-72.37983E+00
+20.100E+03,-70.21078E+00
+20.200E+03,-68.75749E+00
+20.300E+03,-71.99778E+00
+20.400E+03,-71.35728E+00
+20.500E+03,-70.89324E+00
+20.600E+03,-86.02658E+00
+20.700E+03,-74.34920E+00
+20.800E+03,-85.59460E+00
+20.900E+03,-84.37928E+00
+21.000E+03,-69.73721E+00
+21.100E+03,-70.38801E+00
+21.200E+03,-77.38269E+00
+21.300E+03,-72.29576E+00
+21.400E+03,-74.01387E+00
+21.500E+03,-71.07217E+00
+21.600E+03,-71.33758E+00
+21.700E+03,-70.25985E+00
+21.800E+03,-71.41772E+00
+21.900E+03,-68.03369E+00
+22.000E+03,-67.35695E+00
+22.100E+03,-79.10428E+00
+22.200E+03,-71.78417E+00
+22.300E+03,-79.65700E+00
+22.400E+03,-70.85112E+00
+22.500E+03,-74.47587E+00
+22.600E+03,-70.84952E+00
+22.700E+03,-80.69927E+00
+22.800E+03,-68.34010E+00
+22.900E+03,-76.64198E+00
+23.000E+03,-73.18729E+00
+23.100E+03,-79.52636E+00
+23.200E+03,-66.06979E+00
+23.300E+03,-78.24761E+00
+23.400E+03,-72.61877E+00
+23.500E+03,-71.45271E+00
+23.600E+03,-72.97229E+00
+23.700E+03,-66.18904E+00
+23.800E+03,-76.05613E+00
+23.900E+03,-72.74861E+00
+24.000E+03,-70.22108E+00
+24.100E+03,-71.18148E+00
+24.200E+03,-78.81759E+00
+24.300E+03,-72.01042E+00
+24.400E+03,-70.60386E+00
+24.500E+03,-70.56799E+00
+24.600E+03,-82.38077E+00
+24.700E+03,-82.66856E+00
+24.800E+03,-80.08714E+00
+24.900E+03,-70.15575E+00
+25.000E+03,-75.42778E+00
+25.100E+03,-69.23248E+00
+25.200E+03,-70.49109E+00
+25.300E+03,-72.63625E+00
+25.400E+03,-73.12664E+00
+25.500E+03,-71.62783E+00
+25.600E+03,-79.46437E+00
+25.700E+03,-74.14022E+00
+25.800E+03,-78.70151E+00
+25.900E+03,-73.48793E+00
+26.000E+03,-76.82279E+00
+26.100E+03,-74.51989E+00
+26.200E+03,-74.32527E+00
+26.300E+03,-74.42024E+00
+26.400E+03,-71.08973E+00
+26.500E+03,-70.99639E+00
+26.600E+03,-70.08433E+00
+26.700E+03,-72.64434E+00
+26.800E+03,-70.77783E+00
+26.900E+03,-74.06023E+00
+27.000E+03,-65.72357E+00
+27.100E+03,-66.95927E+00
+27.200E+03,-76.74932E+00
+27.300E+03,-89.52153E+00
+27.400E+03,-81.62949E+00
+27.500E+03,-71.32708E+00
+27.600E+03,-70.29711E+00
+27.700E+03,-71.54257E+00
+27.800E+03,-76.97761E+00
+27.900E+03,-78.41823E+00
+28.000E+03,-66.27353E+00
+28.100E+03,-70.83766E+00
+28.200E+03,-71.48525E+00
+28.300E+03,-71.25071E+00
+28.400E+03,-74.47766E+00
+28.500E+03,-72.64527E+00
+28.600E+03,-68.62488E+00
+28.700E+03,-69.41737E+00
+28.800E+03,-73.65500E+00
+28.900E+03,-68.83012E+00
+29.000E+03,-70.28612E+00
+29.100E+03,-85.73887E+00
+29.200E+03,-70.23675E+00
+29.300E+03,-80.51623E+00
+29.400E+03,-69.05453E+00
+29.500E+03,-75.69671E+00
+29.600E+03,-69.67437E+00
+29.700E+03,-76.07992E+00
+29.800E+03,-74.29131E+00
+29.900E+03,-78.26242E+00
+30.000E+03,-66.56757E+00
+30.100E+03,-69.87536E+00
+30.200E+03,-80.89723E+00
+30.300E+03,-68.81741E+00
+30.400E+03,-77.08745E+00
+30.500E+03,-72.14444E+00
+30.600E+03,-83.77440E+00
+30.700E+03,-66.14567E+00
+30.800E+03,-78.51504E+00
+30.900E+03,-70.92961E+00
+31.000E+03,-71.31217E+00
+31.100E+03,-67.24531E+00
+31.200E+03,-69.95741E+00
+31.300E+03,-66.95510E+00
+31.400E+03,-73.36197E+00
+31.500E+03,-73.81476E+00
+31.600E+03,-73.24760E+00
+31.700E+03,-70.42558E+00
+31.800E+03,-69.15141E+00
+31.900E+03,-75.91077E+00
+32.000E+03,-80.14384E+00
+32.100E+03,-68.24442E+00
+32.200E+03,-90.82960E+00
+32.300E+03,-74.14934E+00
+32.400E+03,-69.80250E+00
+32.500E+03,-66.58153E+00
