x-axis,F1
Hertz,dBV
+0E+00,-51.00952E+00
+100E+00,-64.56143E+00
+200E+00,-72.71543E+00
+300E+00,-73.46672E+00
+400E+00,-69.07994E+00
+500E+00,-71.33050E+00
+600E+00,-68.24725E+00
+700E+00,-73.54716E+00
+800E+00,-71.21220E+00
+900E+00,-68.26020E+00
+1.000E+03,-77.15412E+00
+1.100E+03,-69.12876E+00
+1.200E+03,-72.69852E+00
+1.300E+03,-82.75674E+00
+1.400E+03,-70.79060E+00
+1.500E+03,-68.58491E+00
+1.600E+03,-77.09338E+00
+1.700E+03,-73.52328E+00
+1.800E+03,-71.22734E+00
+1.900E+03,-71.33359E+00
+2.000E+03,-69.81667E+00
+2.100E+03,-79.66050E+00
+2.200E+03,-73.74567E+00
+2.300E+03,-82.68163E+00
+2.400E+03,-72.20576E+00
+2.500E+03,-65.32923E+00
+2.600E+03,-82.44610E+00
+2.700E+03,-68.41551E+00
+2.800E+03,-72.28089E+00
+2.900E+03,-77.50606E+00
+3.000E+03,-80.61515E+00
+3.100E+03,-70.48291E+00
+3.200E+03,-72.24156E+00
+3.300E+03,-77.09581E+00
+3.400E+03,-77.60243E+00
+3.500E+03,-79.32540E+00
+3.600E+03,-71.41058E+00
+3.700E+03,-87.06784E+00
+3.800E+03,-79.30185E+00
+3.900E+03,-68.69919E+00
+4.000E+03,-78.77160E+00
+4.100E+03,-71.14328E+00
+4.200E+03,-75.28674E+00
+4.300E+03,-78.31396E+00
+4.400E+03,-75.36067E+00
+4.500E+03,-76.31538E+00
+4.600E+03,-71.45945E+00
+4.700E+03,-69.34082E+00
+4.800E+03,-71.88589E+00
+4.900E+03,-76.41785E+00
+5.000E+03,-78.48054E+00
+5.100E+03,-70.95611E+00
+5.200E+03,-78.82965E+00
+5.300E+03,-78.47546E+00
+5.400E+03,-73.45505E+00
+5.500E+03,-70.96077E+00
+5.600E+03,-69.04578E+00
+5.700E+03,-70.98123E+00
+5.800E+03,-78.42419E+00
+5.900E+03,-71.87019E+00
+6.000E+03,-77.46236E+00
+6.100E+03,-71.63020E+00
+6.200E+03,-73.40816E+00
+6.300E+03,-73.02670E+00
+6.400E+03,-74.57085E+00
+6.500E+03,-75.99331E+00
+6.600E+03,-70.32081E+00
+6.700E+03,-72.87559E+00
+6.800E+03,-70.52829E+00
+6.900E+03,-81.41388E+00
+7.000E+03,-68.39637E+00
+7.100E+03,-70.42411E+00
+7.200E+03,-70.55242E+00
+7.300E+03,-76.63948E+00
+7.400E+03,-76.12249E+00
+7.500E+03,-76.54241E+00
+7.600E+03,-77.92760E+00
+7.700E+03,-72.07698E+00
+7.800E+03,-77.67740E+00
+7.900E+03,-78.92546E+00
+8.000E+03,-81.13832E+00
+8.100E+03,-81.67803E+00
+8.200E+03,-66.84109E+00
+8.300E+03,-72.25199E+00
+8.400E+03,-94.50077E+00
+8.500E+03,-75.31105E+00
+8.600E+03,-73.00718E+00
+8.700E+03,-78.09994E+00
+8.800E+03,-77.79519E+00
+8.900E+03,-76.75140E+00
+9.000E+03,-79.32090E+00
+9.100E+03,-79.14574E+00
+9.200E+03,-72.06951E+00
+9.300E+03,-74.86517E+00
+9.400E+03,-76.96418E+00
+9.500E+03,-69.81314E+00
+9.600E+03,-75.53782E+00
+9.700E+03,-75.04469E+00
+9.800E+03,-78.96405E+00
+9.900E+03,-78.21739E+00
+10.000E+03,-70.48710E+00
+10.100E+03,-77.93790E+00
+10.200E+03,-76.32606E+00
+10.300E+03,-91.44662E+00
+10.400E+03,-68.33569E+00
+10.500E+03,-67.06335E+00
+10.600E+03,-78.73633E+00
+10.700E+03,-80.14177E+00
+10.800E+03,-70.86148E+00
+10.900E+03,-81.73319E+00
+11.000E+03,-81.32918E+00
+11.100E+03,-78.40576E+00
