x-axis,F1
Hertz,dBV
+95.000000E+03,
+95.009524E+03,-69.81320E+00
+95.019048E+03,-70.53925E+00
+95.028571E+03,-69.30113E+00
+95.038095E+03,-69.08229E+00
+95.047619E+03,-68.71796E+00
+95.057143E+03,-69.15680E+00
+95.066667E+03,-68.26088E+00
+95.076190E+03,-70.57716E+00
+95.085714E+03,-71.80905E+00
+95.095238E+03,-69.75456E+00
+95.104762E+03,-72.93434E+00
+95.114286E+03,-72.03641E+00
+95.123810E+03,-69.41531E+00
+95.133333E+03,-67.50989E+00
+95.142857E+03,-68.67049E+00
+95.152381E+03,-65.79456E+00
+95.161905E+03,-67.97653E+00
+95.171429E+03,-69.55992E+00
+95.180952E+03,-70.75526E+00
+95.190476E+03,-72.77626E+00
+95.200000E+03,-70.68624E+00
+95.209524E+03,-65.35780E+00
+95.219048E+03,-72.32327E+00
+95.228571E+03,-76.92675E+00
+95.238095E+03,-68.48494E+00
+95.247619E+03,-64.31633E+00
+95.257143E+03,-67.21486E+00
+95.266667E+03,-70.71042E+00
+95.276190E+03,-72.80907E+00
+95.285714E+03,-75.58649E+00
+95.295238E+03,-74.96322E+00
+95.304762E+03,-76.67555E+00
+95.314286E+03,-70.32050E+00
+95.323810E+03,-70.95534E+00
+95.333333E+03,-72.92156E+00
+95.342857E+03,-74.78361E+00
+95.352381E+03,-70.92533E+00
+95.361905E+03,-71.99847E+00
+95.371429E+03,-66.16208E+00
+95.380952E+03,-68.15032E+00
+95.390476E+03,-68.34776E+00
+95.400000E+03,-68.12855E+00
+95.409524E+03,-67.34457E+00
+95.419048E+03,-68.28204E+00
+95.428571E+03,-70.52672E+00
+95.438095E+03,-69.59252E+00
+95.447619E+03,-68.72878E+00
+95.457143E+03,-69.70670E+00
+95.466667E+03,-71.71996E+00
+95.476190E+03,-73.85656E+00
+95.485714E+03,-77.61468E+00
+95.495238E+03,-71.22093E+00
+95.504762E+03,-72.63785E+00
+95.514286E+03,-67.55189E+00
+95.523810E+03,-69.20215E+00
+95.533333E+03,-68.69650E+00
+95.542857E+03,-71.14624E+00
+95.552381E+03,-70.34368E+00
+95.561905E+03,-69.87857E+00
+95.571429E+03,-66.92332E+00
+95.580952E+03,-68.95674E+00
+95.590476E+03,-65.97052E+00
+95.600000E+03,-67.92036E+00
+95.609524E+03,-69.22282E+00
+95.619048E+03,-68.61275E+00
+95.628571E+03,-67.00855E+00
+95.638095E+03,-67.71513E+00
+95.647619E+03,-70.38435E+00
+95.657143E+03,-68.98555E+00
+95.666667E+03,-68.43151E+00
+95.676190E+03,-65.23111E+00
+95.685714E+03,-65.95002E+00
+95.695238E+03,-66.68232E+00
+95.704762E+03,-67.58483E+00
+95.714286E+03,-64.73926E+00
+95.723810E+03,-68.78432E+00
+95.733333E+03,-67.07457E+00
+95.742857E+03,-68.85062E+00
+95.752381E+03,-69.32993E+00
+95.761905E+03,-70.24932E+00
+95.771429E+03,-64.09543E+00
+95.780952E+03,-66.34245E+00
+95.790476E+03,-66.56513E+00
+95.800000E+03,-66.46120E+00
+95.809524E+03,-65.07684E+00
+95.819048E+03,-68.23563E+00
+95.828571E+03,-73.33397E+00
+95.838095E+03,-69.42985E+00
+95.847619E+03,-74.82419E+00
+95.857143E+03,-70.24686E+00
+95.866667E+03,-70.74501E+00
+95.876190E+03,-73.06881E+00
+95.885714E+03,-80.16564E+00
+95.895238E+03,-66.51354E+00
+95.904762E+03,-70.47473E+00
+95.914286E+03,-67.82571E+00
+95.923810E+03,-67.76011E+00
+95.933333E+03,-77.06482E+00
+95.942857E+03,-85.00435E+00
+95.952381E+03,-65.96875E+00
+95.961905E+03,-68.94047E+00
+95.971429E+03,-68.25766E+00
+95.980952E+03,-70.32622E+00
+95.990476E+03,-74.21549E+00
