Freq.	V(n003)/V(n001)
3.31131121482591e+000	(1.34419499337983e+001dB,1.79998991255879e+002°)
3.38844156139202e+000	(1.34419499337764e+001dB,1.79998967759210e+002°)
3.46736850452531e+000	(1.34419499337535e+001dB,1.79998943715233e+002°)
3.54813389233575e+000	(1.34419499337294e+001dB,1.79998919111200e+002°)
3.63078054770101e+000	(1.34419499337043e+001dB,1.79998893934066e+002°)
3.71535229097172e+000	(1.34419499336780e+001dB,1.79998868170481e+002°)
3.80189396320560e+000	(1.34419499336504e+001dB,1.79998841806784e+002°)
3.89045144994280e+000	(1.34419499336215e+001dB,1.79998814828999e+002°)
3.98107170553496e+000	(1.34419499335913e+001dB,1.79998787222820e+002°)
4.07380277804112e+000	(1.34419499335596e+001dB,1.79998758973610e+002°)
4.16869383470335e+000	(1.34419499335264e+001dB,1.79998730066392e+002°)
4.26579518801592e+000	(1.34419499334917e+001dB,1.79998700485838e+002°)
4.36515832240165e+000	(1.34419499334554e+001dB,1.79998670216265e+002°)
4.46683592150962e+000	(1.34419499334173e+001dB,1.79998639241623e+002°)
4.57088189614874e+000	(1.34419499333774e+001dB,1.79998607545488e+002°)
4.67735141287197e+000	(1.34419499333357e+001dB,1.79998575111056e+002°)
4.78630092322637e+000	(1.34419499332920e+001dB,1.79998541921129e+002°)
4.89778819368445e+000	(1.34419499332462e+001dB,1.79998507958109e+002°)
5.01187233627271e+000	(1.34419499331983e+001dB,1.79998473203989e+002°)
5.12861383991364e+000	(1.34419499331481e+001dB,1.79998437640341e+002°)
5.24807460249771e+000	(1.34419499330956e+001dB,1.79998401248310e+002°)
5.37031796370252e+000	(1.34419499330405e+001dB,1.79998364008599e+002°)
5.49540873857623e+000	(1.34419499329829e+001dB,1.79998325901464e+002°)
5.62341325190348e+000	(1.34419499329226e+001dB,1.79998286906700e+002°)
5.75439937337156e+000	(1.34419499328594e+001dB,1.79998247003630e+002°)
5.88843655355588e+000	(1.34419499327933e+001dB,1.79998206171100e+002°)
6.02559586074356e+000	(1.34419499327240e+001dB,1.79998164387457e+002°)
6.16595001861481e+000	(1.34419499326515e+001dB,1.79998121630548e+002°)
6.30957344480192e+000	(1.34419499325755e+001dB,1.79998077877703e+002°)
6.45654229034654e+000	(1.34419499324960e+001dB,1.79998033105723e+002°)
6.60693448007594e+000	(1.34419499324127e+001dB,1.79997987290870e+002°)
6.76082975391980e+000	(1.34419499323255e+001dB,1.79997940408852e+002°)
6.91830970918935e+000	(1.34419499322342e+001dB,1.79997892434811e+002°)
7.07945784384136e+000	(1.34419499321385e+001dB,1.79997843343311e+002°)
7.24435960074988e+000	(1.34419499320384e+001dB,1.79997793108324e+002°)
7.41310241300916e+000	(1.34419499319336e+001dB,1.79997741703213e+002°)
7.58577575029182e+000	(1.34419499318238e+001dB,1.79997689100723e+002°)
7.76247116628690e+000	(1.34419499317088e+001dB,1.79997635272964e+002°)
7.94328234724279e+000	(1.34419499315884e+001dB,1.79997580191395e+002°)
8.12830516164097e+000	(1.34419499314624e+001dB,1.79997523826812e+002°)
8.31763771102669e+000	(1.34419499313304e+001dB,1.79997466149329e+002°)
8.51138038202374e+000	(1.34419499311922e+001dB,1.79997407128365e+002°)
8.70963589956078e+000	(1.34419499310474e+001dB,1.79997346732626e+002°)
8.91250938133743e+000	(1.34419499308959e+001dB,1.79997284930090e+002°)
9.12010839355907e+000	(1.34419499307372e+001dB,1.79997221687987e+002°)
9.33254300796988e+000	(1.34419499305710e+001dB,1.79997156972787e+002°)
9.54992586021433e+000	(1.34419499303970e+001dB,1.79997090750176e+002°)
9.77237220955808e+000	(1.34419499302148e+001dB,1.79997022985042e+002°)
