x-axis,1,2
second,Volt,Volt
-250.0000E-06,+988.6589167E-03,+983.1563971E-03
-249.7500E-06,+988.9415800E-03,+983.5960956E-03
-249.5000E-06,+989.3498715E-03,+983.3134323E-03
-249.2500E-06,+988.4704745E-03,+983.2192112E-03
-249.0000E-06,+988.7217308E-03,+983.3134323E-03
-248.7500E-06,+989.3184645E-03,+983.7217238E-03
-248.5000E-06,+989.1928363E-03,+983.5332816E-03
-248.2500E-06,+989.5069067E-03,+983.7531308E-03
-248.0000E-06,+988.9415800E-03,+983.6903167E-03
-247.7500E-06,+988.8159519E-03,+983.4390605E-03
-247.5000E-06,+989.8209770E-03,+983.2506183E-03
-247.2500E-06,+989.8209770E-03,+984.3498645E-03
-247.0000E-06,+989.8209770E-03,+984.1928293E-03
-246.7500E-06,+989.9780122E-03,+984.1928293E-03
-246.5000E-06,+989.9466052E-03,+983.4076534E-03
-246.2500E-06,+989.5697207E-03,+984.6011207E-03
-246.0000E-06,+989.5069067E-03,+984.6325278E-03
-245.7500E-06,+989.6953489E-03,+984.2556434E-03
-245.5000E-06,+989.4440926E-03,+984.9780052E-03
-245.2500E-06,+989.2870574E-03,+985.2292614E-03
-245.0000E-06,+988.7845449E-03,+984.8209700E-03
-244.7500E-06,+989.2556504E-03,+984.9151911E-03
-244.5000E-06,+988.2820323E-03,+985.3548896E-03
-244.2500E-06,+989.3498715E-03,+985.4177037E-03
-244.0000E-06,+989.6325348E-03,+984.9465981E-03
-243.7500E-06,+989.1614293E-03,+985.0094122E-03
-243.5000E-06,+990.1036403E-03,+984.8209700E-03
-243.2500E-06,+989.6011278E-03,+985.2606685E-03
-243.0000E-06,+990.5119318E-03,+985.6061459E-03
-242.7500E-06,+989.5383137E-03,+985.1350403E-03
-242.5000E-06,+990.6375599E-03,+985.7003670E-03
-242.2500E-06,+989.9466052E-03,+985.6061459E-03
-242.0000E-06,+989.6325348E-03,+985.6061459E-03
-241.7500E-06,+990.1978614E-03,+986.4541358E-03
-241.5000E-06,+990.5119318E-03,+985.6375529E-03
-241.2500E-06,+989.6639418E-03,+986.0458444E-03
-241.0000E-06,+989.3184645E-03,+985.7945881E-03
-240.7500E-06,+988.9415800E-03,+985.3548896E-03
-240.5000E-06,+990.1350474E-03,+986.0772514E-03
-240.2500E-06,+990.1664544E-03,+985.7003670E-03
-240.0000E-06,+989.3812785E-03,+985.8259951E-03
-239.7500E-06,+989.0672082E-03,+986.3285077E-03
-239.5000E-06,+989.0672082E-03,+986.2342866E-03
-239.2500E-06,+990.0408263E-03,+986.3285077E-03
